Yıl,İl,Toplam,Erkek,Kadın
2015,Kırıkkale,270271,135024,135247
2015,Kırklareli,346973,177352,169621
2015,Kırşehir,225562,112121,113441
2015,Kilis,130655,65407,65248
2015,Kocaeli,1780055,901860,878195
2015,Konya,2130544,1056540,1074004
2015,Kütahya,571463,282816,288647
2015,Malatya,772904,385440,387464
2015,Manisa,1380366,691955,688411
2015,Mardin,796591,400478,396113
2015,Mersin,1745221,869989,875232
2015,Muğla,908877,463411,445466
2015,Muş,408728,208329,200399
2015,Nevşehir,286767,141942,144825
2015,Niğde,346114,172643,173471
2015,Ordu,728949,364236,364713
2015,Osmaniye,512873,258959,253914
2015,Rize,328979,163379,165600
2015,Sakarya,953181,477879,475302
2015,Samsun,1279884,632014,647870
2015,Siirt,320351,165034,155317
2015,Sinop,204133,101139,102994
2015,Sivas,618617,307439,311178
2015,Şanlıurfa,1892320,950493,941827
2015,Şırnak,490184,256529,233655
2015,Tekirdağ,937910,482404,455506
2015,Tokat,593990,294381,299609
2015,Trabzon,768417,379708,388709
2015,Tunceli,86076,48129,37947
2015,Uşak,353048,176281,176767
2015,Van,1096397,560480,535917
2015,Yalova,233009,116150,116859
2015,Yozgat,419440,209376,210064
2015,Zonguldak,595907,294679,301228
2014,Adana,2165595,1082497,1083098
2014,Adıyaman,597835,299846,297989
2014,Afyonkarahisar,706371,350370,356001
2014,Ağrı,549435,285449,263986
2014,Aksaray,384252,191091,193161
2014,Amasya,321913,159591,162322
2014,Ankara,5150072,2562805,2587267
2014,Antalya,2222562,1122997,1099565
2014,Ardahan,100809,51939,48870
2014,Artvin,169674,85365,84309
2014,Aydın,1041979,519900,522079
2014,Balıkesir,1189057,593529,595528
2014,Bartın,189405,93206,96199
2014,Batman,557593,280002,277591
2014,Bayburt,80607,41278,39329
2014,Bilecik,209925,108680,101245
2014,Bingöl,266019,135529,130490
2014,Bitlis,338023,174501,163522
2014,Bolu,284789,140405,144384
2014,Burdur,256898,127158,129740
2014,Bursa,2787539,1394715,1392824
2014,Çanakkale,511790,259655,252135
2014,Çankırı,183550,91800,91750
2014,Çorum,527220,261187,266033
2014,Denizli,978700,487958,490742
2014,Diyarbakır,1635048,824133,810915
2014,Düzce,355549,178342,177207
2014,Edirne,400280,203001,197279
2014,Elazığ,568753,281583,287170
2014,Erzincan,223633,112845,110788
